mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,mode
842,940,10.401,95.197,485.569,350.79102,172.278,59.777,DLR
850,504,0.0,0.765,3.003,2.588,0.694,2.503,DLR
850,513,0.0,20.648,63.562,29.173,11.032,4.12,DLR
850,533,0.0,0.0,2.494,0.855,0.477,0.0,DLR
850,538,0.0,0.0,0.815,0.646,1.766,0.269,DLR
850,559,0.0,0.995,0.775,0.995,0.678,0.0,DLR
850,573,0.0,2.706,8.411,2.852,2.707,0.859,DLR
850,719,1.873,52.413002,276.794,105.564,59.994,22.463,DLR
850,757,0.0,0.0,0.0,0.0,0.011,0.0,DLR
850,842,0.0,26.569,215.229,74.913,32.714,9.588,DLR
850,851,0.599,17.671,62.745,30.192,16.913,9.49,DLR
850,853,0.0,1.506,14.688,3.292,1.462,0.119,DLR
850,854,0.0,0.0,14.186,4.377,1.891,0.69,DLR
850,855,0.0,0.0,11.891,5.498,0.0,0.0,DLR
850,856,0.0,0.757,4.154,1.585,0.53499997,0.42700002,DLR
850,857,0.0,0.832,4.515,1.171,1.149,0.0,DLR
850,858,0.0,4.908,8.881,5.319,2.547,2.894,DLR
850,859,0.0,0.534,6.49,1.294,1.028,0.827,DLR
850,860,0.0,5.637,17.644,10.746,2.575,2.066,DLR
850,861,0.0,1.416,9.528,5.534,4.599,2.3209999,DLR
