name_o,name_d,Early,AM Peak,Midday,PM Peak,Evening,Late,Total,mode,day
910GSTNBGPK,910GBARKING,0,0,0.017,0.029000001,0,0,0.046000001,overground,SUN
910GSTNBGPK,910GBARKING,0.161,0.017,0,0,0,0.017,0.195,overground,MTT
910GSTOTNHM,910GBARKING,0,0,31980999,168.98,118393,74972,408597998,overground,SUN
910GSTOTNHM,910GBARKING,53038,106485,140548,202796,71052,19107,593026,overground,MTT
910GTHBLDSG,910GBARKING,0,0,0.139,0.29,0.112,0.047000002,0.593000002,overground,SUN
910GTHBLDSG,910GBARKING,0.002,0.338,1637,1405,0.685,0.005,4072,overground,MTT
910GTURKYST,910GBARKING,0,0,0.126,0.293,0.265,0.24700001,0.94100001,overground,SUN
910GTURKYST,910GBARKING,0.474,0.83,1665,0.807,0.839,0.107999995,4722999995,overground,MTT
910GUPRHLWY,910GBARKING,0,0,22089,71.16,54648,40.14,196004,overground,SUN
910GUPRHLWY,910GBARKING,22133,44757,82034,138497,53256,95460005,3502230005,overground,MTT
910GWATFDJ,910GBARKING,0,0,0,0.003,0,0,0.003,overground,SUN
910GWATFDJ,910GBARKING,0,0.04,0,0,0,0.001,0.041,overground,MTT
910GWDGRNPK,910GBARKING,0,0,6894,56789,23441,11687,99977,overground,SUN
910GWDGRNPK,910GBARKING,6244,42082,40977,41869,14734,1283,147189,overground,MTT
910GWDST,910GBARKING,0.606,3027,1.75,0,1067,0.051,6501,overground,MTT
910GWHHRTLA,910GBARKING,0,0,0.366,2115,0.467,0.33,3386,overground,SUN
910GWHHRTLA,910GBARKING,0.959,2393,4342,7254,3627,0.166,18741,overground,MTT
910GWHMDSTD,910GBARKING,0,0,0.358,3308,1218,2274,758099998,overground,SUN
910GWHMDSTD,910GBARKING,1223,3677,4428,10955,5179,1478,26.94,overground,MTT
910GWLSDJHL,910GBARKING,0,0,0.161,3567,2519,1047,758200002,overground,SUN
910GWLSDJHL,910GBARKING,0.393,1258,2578,5.05,3202,0.486,12967,overground,MTT
910GWLTHQRD,910GBARKING,0,0,67869,250727,146783,91927,602178,overground,SUN
910GWLTHQRD,910GBARKING,104517006,297512,367201,382844,166379,64715004,138316801,overground,MTT
910GWMBY,910GBARKING,0,0,0.07,0.072,0.075,0.016,0.233,overground,SUN
910GWMBY,910GBARKING,0.149,0.027,0,0,0,0.021,0.197,overground,MTT
910GWNSTDPK,910GBARKING,0,0,8742,98902,47688,22704,181183,overground,SUN
910GWNSTDPK,910GBARKING,16210001,80743,68541,91046,33006,3711,293257001,overground,MTT
910GBARKING,910GBHILLPK,0,0,0.036,0.444,0.276,0.281,1581,overground,SUN
910GBARKING,910GBHILLPK,0.031,0.884,0.453,0,0.142,0.447,1957,overground,MTT
910GBRBY,910GBHILLPK,0.003,0.246,0.743,0,0.49,0.043,1525,overground,MTT
910GBRUCGRV,910GBHILLPK,0,0,15009999,4.79,2887,15649999,114429998,overground,SUN
910GBRUCGRV,910GBHILLPK,0.067,6163,5394,7913,7604,4799,31.94,overground,MTT
910GBTHNLGR,910GBHILLPK,0,0,0.004,4.69,3283,1336,10155,overground,SUN
910GBTHNLGR,910GBHILLPK,0.199,1671,6834,19464,4885,1891,34944,overground,MTT
910GCAMHTH,910GBHILLPK,0,0,0.847,8889,3846,1405,15.02,overground,SUN
910GCAMHTH,910GBHILLPK,0.243,1212,46809998,8498,67469997,2851,242319995,overground,MTT
910GCLPHMJC,910GBHILLPK,0,0,0.094000004,0,0.053,0,0.147000004,overground,MTT
