Day-id_o_id_d;Early;Morning;AM Peak;Midday;PM Peak;Evening;Late;Night;Total
MTT-3_28;8.907;26.223;32.35;25.555;13.295;2.746;0;0;109.076
FRI-3_28;12.285;21.828;31.316;21.168;16.666;0.775;0;0;104.038
SUN-3_29;0.443;5.756;26.818;11.322;2.683;0;0;0;47.022
SAT-3_29;0.669;8.648;32.193;18.183;9.036;2.352;0;0;71.081
MTT-3_29;2.216;16.014;21.91;15.004;5.426;1.921;0;0;62.491
FRI-3_29;1.334;23.764;53.486;23.968;13.883;3.519;0;0;119.954
SAT-3_30;0.194;0.024;0.089;0.069;0;0;0;0;0.376
MTT-3_30;0.871;1.202;0.959;0.117;0;0;0;0;3.149
SUN-3_31;0.092;2.886;10.287;4.715;2.214;0.643;0;0;20.837
SAT-3_31;2.519;4.264;9.595;6.442;5.108;1.597;0;0;29.525
MTT-3_31;10.218;20.489;18.139;6.167;1.636;1.6919999;0;0;58.3409999
FRI-3_31;9.845;17.037;16.662;9.489;4.966;1.8659999;0;0;59.8649999
SUN-3_32;0.168;5.726;80.737;22.514;6.1549997;0.275;0;0;115.5749997
SAT-3_32;2.477;8.076;76.57;32.688;16.511;4.139;0;0;140.461
MTT-3_32;2.728;27.374;60.047;22.894001;10.59;3.516;0;0;127.149001
FRI-3_32;2.27;29.029;62.332;25.598;17.226;4.605;0;0;141.06
SUN-3_33;0.539;15.509;32.268;12.835;10;1.231;0;0;72.382
SAT-3_33;5.723;17.066;42.926;12.885;17.703001;4.035;0;0;100.338001
MTT-3_33;23.246;90.127;37.344;25.313;20.995;0.805;0;0;197.83
FRI-3_33;18.907;77.397;41.204;27.306;15.288;2.711;0;0;182.813
SUN-3_34;0.471;7.671;5.778;1.95;0.432;0;0;0;16.302
SAT-3_34;2.414;6.413;8.513;2.73;1.61;0;0;0;21.68
MTT-3_34;8.148;28.659;7.198;1.169;0.772;0;0;0;45.946
FRI-3_34;6.2009997;24.111;8.652;1.129;1.0960001;0;0;0;41.1889998
SUN-3_35;0;0.398;2.522;2.628;0.723;0;0;0;6.271
SAT-3_35;0.29;1.2870001;2.978;2.47;1.125;0;0;0;8.1500001
MTT-3_35;2.058;2.657;3.325;3.701;0.336;0;0;0;12.077
FRI-3_35;1.433;1.434;2.66;4.942;1.091;0.419;0;0;11.979
SUN-3_36;2.713;0.542;9.369;3.701;1.247;0;0;0;17.572
SAT-3_36;1.979;3.128;7.534;5.704;2.123;0.463;0;0;20.931
MTT-3_36;5.611;0.755;5.628;3.447;0.221;0;0;0;15.662
FRI-3_36;5.234;0.453;4.545;1.455;0.156;0.208;0;0;12.051
SUN-3_37;0;1.359;4.3129997;2.305;0.037;0.671;0;0;8.6849997
SAT-3_37;0;1.143;2.394;1.207;0.907;0;0;0;5.651
MTT-3_37;0.514;2.495;4.633;1.621;0;0;0;0;9.263
FRI-3_37;0;0;5.967;2.632;1.924;0;0;0;10.523
SUN-3_38;0.13;0.856;9.13;4.299;1.57;0;0;0;15.985
SAT-3_38;0.602;4.489;17.112;4.92;1.716;0.39;0;0;29.229
MTT-3_38;2.99;12.011;10.183;6.0099998;0.96000004;0.527;0;0;32.68099984
FRI-3_38;3.141;9.815;8.943;6.578;1.244;0.392;0;0;30.113
SUN-3_39;3.708;25.925;55.487;19.144001;5.017;2.392;0;0;111.673001
SAT-3_39;19.007;26.219;64.745;17.858;10.862;3.746;0;0;142.437
MTT-3_39;60.283;131.878;55.467;31.287;9.178;2.354;0;0;290.447
FRI-3_39;67.083;113.672;54.181;35.654;11.775;3.897;0;0;286.262
SUN-3_40;0;0.033;2.41;1.256;0.096;0;0;0;3.795
SAT-3_40;0;0.969;2.168;1.798;0.542;0;0;0;5.477
